Current CPU threads: 32
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

Sleeping for 5 seconds before running pidstat...

>>> [2/2] Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.19-amd64 (pavlik) 	05/01/2025 	_x86_64_	(32 CPU)

10:09:08 PM   UID      TGID       TID   cswch/s nvcswch/s  Command
10:09:09 PM  1000    155229         -      0.00     80.49  stress-ng-cpu
10:09:09 PM  1000         -    155229      0.00     80.49  |__stress-ng-cpu
10:09:09 PM  1000    155230         -      0.00     29.27  stress-ng-cpu
10:09:09 PM  1000         -    155230      0.00     29.27  |__stress-ng-cpu
10:09:09 PM  1000    155231         -      0.00     44.72  stress-ng-cpu
10:09:09 PM  1000         -    155231      0.00     44.72  |__stress-ng-cpu
10:09:09 PM  1000    155232         -      0.00      3.25  stress-ng-cpu
10:09:09 PM  1000         -    155232      0.00      3.25  |__stress-ng-cpu
10:09:09 PM  1000    155233         -      0.00      3.25  stress-ng-cpu
10:09:09 PM  1000         -    155233      0.00      3.25  |__stress-ng-cpu
10:09:09 PM  1000    155234         -      0.00     26.83  stress-ng-cpu
10:09:09 PM  1000         -    155234      0.00     26.83  |__stress-ng-cpu
10:09:09 PM  1000    155235         -      0.00     21.14  stress-ng-cpu
10:09:09 PM  1000         -    155235      0.00     21.95  |__stress-ng-cpu
10:09:09 PM  1000    155236         -      0.00     40.65  stress-ng-cpu
10:09:09 PM  1000         -    155236      0.00     40.65  |__stress-ng-cpu
10:09:09 PM  1000    155237         -      0.00     50.41  stress-ng-cpu
10:09:09 PM  1000         -    155237      0.00     50.41  |__stress-ng-cpu
10:09:09 PM  1000    155266         -      0.81     25.20  pidstat
10:09:09 PM  1000         -    155266      0.81     25.20  |__pidstat

10:09:09 PM   UID      TGID       TID   cswch/s nvcswch/s  Command
10:09:10 PM     0        17         -    118.00      0.00  rcu_preempt
10:09:10 PM     0         -        17    118.00      0.00  |__rcu_preempt
10:09:10 PM     0        20         -      1.00      0.00  migration/0
10:09:10 PM     0         -        20      1.00      0.00  |__migration/0
10:09:10 PM     0        38         -      1.00      0.00  ksoftirqd/3
10:09:10 PM     0         -        38      1.00      0.00  |__ksoftirqd/3
10:09:10 PM     0        50         -      1.00      0.00  ksoftirqd/5
10:09:10 PM     0         -        50      1.00      0.00  |__ksoftirqd/5
10:09:10 PM     0       116         -      1.00      0.00  ksoftirqd/16
10:09:10 PM     0         -       116      1.00      0.00  |__ksoftirqd/16
10:09:10 PM     0       135         -      2.00      0.00  ksoftirqd/19
10:09:10 PM     0         -       135      2.00      0.00  |__ksoftirqd/19
10:09:10 PM     0       146         -      1.00      0.00  migration/21
10:09:10 PM     0         -       146      1.00      0.00  |__migration/21
10:09:10 PM     0       152         -      1.00      0.00  migration/22
10:09:10 PM     0         -       152      1.00      0.00  |__migration/22
10:09:10 PM     0       195         -      2.00      0.00  ksoftirqd/29
