Current logical CPUs: 16
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.27-amd64 (localhost) 	05/15/25 	_x86_64_	(16 CPU)

22:11:11      UID      TGID       TID   cswch/s nvcswch/s  Command
22:11:16        0      2802         -      1.00      0.00  kworker/2:5-mm_percpu_wq
22:11:16        0         -      2802      1.00      0.00  |__kworker/2:5-mm_percpu_wq
22:11:16        0      5359         -      7.00      0.00  kworker/0:20-kacpi_notify
22:11:16        0         -      5359      7.00      0.00  |__kworker/0:20-kacpi_notify
22:11:16        0      5411         -      1.00      0.00  kworker/11:9-mm_percpu_wq
22:11:16        0         -      5411      1.00      0.00  |__kworker/11:9-mm_percpu_wq
22:11:16        0      5498         -     14.00      0.00  kworker/0:22-kacpi_notify
22:11:16        0         -      5498     14.00      0.00  |__kworker/0:22-kacpi_notify
22:11:16        0      5510         -      2.00      0.00  kworker/9:2-mm_percpu_wq
22:11:16        0         -      5510      2.00      0.00  |__kworker/9:2-mm_percpu_wq
