Time (s),CPU Temp (°C),Avg CPU0–7 (GHz),Avg CPU8–15 (GHz)
660,46.166666666666664,1.0306892291666667,0.9173247083333333
661,46.833333333333336,1.0162241041666666,0.8807548125
662,47,1.0570106458333335,1.3269960833333334
663,47,1.386295,1.295578875
664,47,1.0024108333333333,0.9813867708333333
665,46.5,1.0469116041666666,0.9567010833333334
666,46,1.0860278541666666,1.0227344166666668
667,46,1.0223532916666667,0.9409229166666666
668,46,1.1882586458333333,1.1673261041666667
669,46,0.99490375,1.0648869375
670,46,1.0329581875,0.9879758125
671,46,1.0743230208333334,0.9423863958333333
672,46,1.1116662708333334,1.1249696666666666
673,46.2,0.97321625,1.118352625
674,46.833333333333336,1.0255376041666666,1.0192056041666666
675,46,1.194259,1.3187556964285714
676,46,1.4073604583333332,1.3075082916666667
677,46,1.1532577083333333,0.9840916875
678,45,1.206435875,0.922701
679,46,1.025319175,0.97820155
680,46,1.0951086041666667,1.1848104375
681,45.333333333333336,1.1221527083333334,0.9577687708333333
682,45.666666666666664,0.9865042083333333,1.1656659375
683,46,1.0855958958333334,1.2526467708333333
684,45.5,1.027021,0.9326095833333333
685,45.5,1.012079875,0.8792763333333333
686,45.5,1.1830704166666668,1.1701097083333334
687,45,1.0806438333333332,0.9563985625
688,45.333333333333336,1.0731404375,0.9253359999999999
689,46,1.0473513333333333,0.9922150833333333
690,45.833333333333336,1.0723228541666667,1.0003182708333334
691,45.333333333333336,1.0706738125,1.0468203541666667
692,45.666666666666664,1.1339571666666666,1.0317111458333335
693,45.2,1.0565826999999999,1.0083317
694,45.714285714285715,1.1604233035714286,1.2594224285714286
